Postcode-4;Totaal;Man;Vrouw;tot 15 jaar;15 tot 25 jaar;25 tot 45 jaar;45 tot 65 jaar;65 jaar en ouder;"Nederlandse achtergond";"Westerse migratie achtergrond";"Niet-westerse migratie achtergrond"
7623;7785;3925;3855;1815;815;2225;2045;885;90;10;0
7625;1395;750;645;180;175;260;460;320;90;0;0
7626;530;285;245;105;70;100;150;105;100;0;0
7627;1925;970;955;360;215;420;555;380;100;0;0
7631;4460;2210;2255;570;555;780;1310;1245;90;10;0
7634;760;405;355;110;100;150;245;155;100;0;-99997
7635;995;535;460;120;190;170;330;180;90;10;-99997
7636;570;290;280;85;85;100;170;130;100;0;-99997
7637;330;175;155;60;45;55;95;75;100;0;-99997
7638;180;90;90;25;35;30;65;20;90;10;-99997
7641;8305;4145;4165;1390;1030;1655;2435;1795;90;10;0
7642;7100;3480;3620;1295;700;1735;1740;1620;90;10;0
7645;1065;530;535;190;155;220;330;175;90;10;0
7651;5755;2825;2930;905;730;1205;1595;1325;90;0;0
7661;970;515;455;170;135;195;290;180;100;0;-99997
7662;210;105;100;30;30;35;65;45;90;10;-99997
7663;385;200;180;75;55;85;120;45;100;0;-99997
7664;620;315;305;90;80;125;200;125;90;10;-99997
